Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Shows,,Agency
1,112.7,Taylor Swift,84.4,"28,411","1,335,308","2,397,872",47/66,The Messina Group,
2,107.3,Bon Jovi,95.56,"19,363","1,123,052","1,850,368",58/62,Creative Artists Agency,
3,90.9,Kenny Chesney,76.62,"28,949","1,186,925","2,217,977",41/44,Dale Morris & Associates,
4,87.7,The Rolling Stones,228.71,"34,845","383,296","7,969,275",18-Nov,AEG Live,
5,76.4,Beyonce,119.86,"15,167","637,020","1,817,972",42/46,ICM Partners,
6,69,Jay Z / Justin Timberlake,110.89,"51,880","622,559","5,752,825",14-Dec,Roc Nation / WME,
7,66.7,Fleetwood Mac,110.38,"13,142","604,554","1,450,649",46/47,Creative Artists Agency,
8,62.9,Pink,82.07,"15,028","766,418","1,233,333",51/54,Live Nation,
9,59.7,Eagles,126.9,"11,201","470,449","1,421,429",42/47,Creative Artists Agency,
10,55.9,Justin Bieber,77.74,"17,107","718,500","1,329,834",42/47,Creative Artists Agency,
11,51,Jason Aldean,47.89,"16,640","1,064,940","796,875",64/66,Buddy Lee Attractions,
12,49.6,Paul McCartney,128.99,"29,552","384,176","3,811,770",13/17,MPL Communications,
13,49.1,Cirque du Soleil - Totem,89.76,"1,807","547,546","162,209",45/303,Cirque du Soleil,
14,47.9,Trans-Siberian Orchestra,54.37,"13,161","881,816","715,531",67/108,WME,
15,44.4,Luke Bryan,39.83,"15,497","1,115,761","617,232",72/75,WME,
16,43.8,Cirque du Soleil - Amaluna,88.88,"2,037","492,852","181,018",Apr-42,Cirque du Soleil,
17,43.3,One Direction,62.98,"21,497","687,907","1,353,819",32/41,Creative Artists Agency,
18,43.1,Zac Brown Band,50.66,"13,280","849,913","672,736",64/71,Creative Artists Agency,
19,43,Bruno Mars,69.92,"14,643","614,988","1,023,810",42/45,WME,
20,41,Elton John,112.28,"11,411","365,158","1,281,250",32/53,The Howard Rose Agency,
21,40.9,George Strait,89.8,"22,747","454,931","2,042,727",20/20,The Erv Woolsey Agency,
22,40.2,Dave Matthews Band,56.51,"19,775","711,890","1,117,493",36/47,Paradigm,
