Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Shows,,Agency
1,127.2,One Direction,84.06,"72,064","1,513,354","6,058,097",21/31,Creative Artists Agency,
2,96,Beyonce / Jay Z,115.31,"52,048","832,769","6,001,612",16/19,ICM Partners / Live Nation,
3,94.3,Katy Perry,104.39,"18,069","903,459","1,886,172",50/66,Creative Artists Agency,
4,83.3,Justin Timberlake,115.43,"15,354","721,649","1,772,340",47/54,WME,
5,74.1,Fleetwood Mac,131.69,"16,550","562,685","2,179,412",34/40,Creative Artists Agency,
6,72.2,Billy Joel,101.61,"22,205","710,559","2,256,250",32/35,Artist Group International,
7,62.8,Luke Bryan,49.39,"21,538","1,270,724","1,063,786",59/72,WME,
8,61.8,George Strait,108.78,"21,851","568,119","2,376,923",26/26,The Erv Woolsey Agency,
9,61.3,Bruno Mars,82.31,"16,190","744,745","1,332,609",46/57,WME,
10,61.3,Paul McCartney,134.86,"21,642","454,485","2,918,594",21/21,MPL Communications,
11,59,Eagles,137.12,"13,039","430,280","1,787,879",33/40,Creative Artists Agency,
12,54.8,Cher,90.04,"12,417","608,435","1,117,984",49/49,Marshall Arts USA,
13,52.5,Jason Aldean,47.98,"18,222","1,093,320","874,284",60/70,WME,
14,51,Garth Brooks,62.01,"102,806","822,447","6,375,000",Aug-51,Bob Doyle & Associates,
15,47.9,Trans-Siberian Orchestra,56.5,"13,037","847,412","736,552",65/108,WME,
16,44.1,Zac Brown Band,49.77,"16,409","886,075","816,667",54/63,Creative Artists Agency,
17,44,Motley Crue,55.65,"11,627","790,655","647,059",68/70,Artist Group International,
18,43.4,Elton John,110.17,"12,708","393,936","1,400,000",31/43,The Howard Rose Agency,
19,39.1,Lady Gaga,82.9,"13,101","471,652","1,086,111",36/45,WME,
20,37.9,Dave Matthews Band,56.07,"21,123","675,922","1,184,367",32/42,Paradigm,
21,36.1,Miley Cyrus,69.43,"11,817","519,948","820,455",44/45,Creative Artists Agency,
22,36,Eminem / Rihanna,123.07,"97,505","292,516","12,358,850",6-Mar,Creative Artists Agency / WME,
23,35.1,Britney Spears,151.48,"3,995","231,713","605,172",Jan-58,Creative Artists Agency,
24,34.4,Marc Anthony,96.27,"9,926","357,328","955,556",36/43,Cardenas Marketing Network,
